sample,caste,tissue,stage,study,status,condition
ERR883767_queen_adult,queen,whole_body,adult,harrison,reproductive,queen_adult
ERR883768_queen_adult,queen,whole_body,adult,harrison,reproductive,queen_adult
ERR883769_queen_adult,queen,whole_body,adult,harrison,reproductive,queen_adult
ERR883782_worker_adult,worker,whole_body,adult,harrison,reproductive,worker_adult
ERR883783_worker_adult,worker,whole_body,adult,harrison,reproductive,worker_adult
ERR883784_worker_adult,worker,whole_body,adult,harrison,reproductive,worker_adult
ERR883785_worker_adult,worker,whole_body,adult,harrison,undeveloped_ovaries,worker_adult
ERR883786_worker_adult,worker,whole_body,adult,harrison,undeveloped_ovaries,worker_adult
ERR883787_worker_adult,worker,whole_body,adult,harrison,undeveloped_ovaries,worker_adult
ERR883788_worker_larva,worker,whole_body,larva,harrison,NA,worker_larva
ERR883789_worker_larva,worker,whole_body,larva,harrison,NA,worker_larva
ERR883790_worker_larva,worker,whole_body,larva,harrison,NA,worker_larva
ERR883791_worker_pupa,worker,whole_body,pupa,harrison,NA,worker_pupa
ERR883792_worker_pupa,worker,whole_body,pupa,harrison,NA,worker_pupa
ERR883793_worker_pupa,worker,whole_body,pupa,harrison,NA,worker_pupa
