sample,caste,tissue,study,species
GC-AW-9791-FCONT-6-BRAIN_S47,worker,brain,witwicka,bter
GC-AW-9791-FCONT-9-BRAIN_S70,worker,brain,witwicka,bter
GC-AW-9791-FCONT-2-BRAIN_S15,worker,brain,witwicka,bter
GC-AW-9791-FCONT-10-BRAIN_S78,worker,brain,witwicka,bter
GC-AW-9791-FCONT-7-BRAIN_S55,worker,brain,witwicka,bter
GC-AW-9791-FCONT-3-BRAIN_S23,worker,brain,witwicka,bter
GC-AW-9791-FCONT-5-BRAIN_S39,worker,brain,witwicka,bter
GC-AW-9791-FCONT-1-BRAIN_S7,worker,brain,witwicka,bter
GC-AW-9791-FCONT-4-BRAIN_S31,worker,brain,witwicka,bter
GC-AW-9791-FCONT-8-BRAIN_S63,worker,brain,witwicka,bter
